Name	color	Group	myLevel	Reign
Amphinema	#5e6eff	Genus	1	Fungi
Athelia	lightblue	Genus	1	Fungi
Boletus	forestgreen	Genus	1	Fungi
Clavulina	black	Genus	1	Fungi
Clavulinopsis	pink	Genus	1	Fungi
Cortinarius	beige	Genus	1	Fungi
Elaphomyces	#ad6d5e	Genus	1	Fungi
Geastrum	yellow	Genus	1	Fungi
Gymnomyces	steelblue	Genus	1	Fungi
Hebeloma	lightgreen	Genus	1	Fungi
Heterocephalacria	blue	Genus	1	Fungi
Hygrophorus	#084594	Genus	1	Fungi
Hygrocybe	green	Genus	1	Fungi
Hymenogaster	#bfaef2	Genus	1	Fungi
Inocybe	#eb5834	Genus	1	Fungi
Lactarius	darkred	Genus	1	Fungi
Leotia	#8f7ccc	Genus	1	Fungi
Leucangium	#41b8f0	Genus	1	Fungi
Lichenomphalia	brown	Genus	1	Fungi
Membranomyces	yellow	Genus	1	Fungi
Mortierella	orange	Genus	1	Fungi
Microglossum	blue	Genus	1	Fungi
Piloderma	#C6DBEF	Genus	1	Fungi
Pseudohyphozyma	black	Genus	1	Fungi
Ramariopsis	purple	Genus	1	Fungi
Russula	#80cdc1	Genus	1	Fungi
Sebacina	#5b8f69	Genus	1	Fungi
Sistotrema	beige	Genus	1	Fungi
Tomentella	#e6a183	Genus	1	Fungi
Tricholoma	#b30c0c	Genus	1	Fungi
Tylospora	#86cc72	Genus	1	Fungi
OS	#6B3A2C	Layer	1	metadata
OM	#dbcb81	Layer	2	metadata
OS: 0 - 5cm	#6B3A2C	Layer	1	metadata
OM: 5 - 25cm	#dbcb81	Layer	2	metadata
OS: 0 - 10cm	#6B3A2C	Layer	1	metadata
OM: 10 - 20cm	#dbcb81	Layer	2	metadata
Abies	#d64933	Tree_species	1	metadata
Picea	#3fb52f	Tree_species	2	metadata
Quercus	#5a92ed	Tree_species	3	metadata
2019_wet	#35978f	Season	1	metadata
2020_dry	#dfc27d	Season	2	metadata
2020_wet	navyblue	Season	3	metadata
Abies_1	pink	Cluster	1	metadata
Abies_2	#d64933	Cluster	2	metadata
Abies_3	red	Cluster	3	metadata
Picea_1	lightgreen	Cluster	4	metadata
Picea_2	#3fb52f	Cluster	5	metadata
Picea_3	forestgreen	Cluster	6	metadata
Quercus_1	lightblue	Cluster	7	metadata
Quercus_2	#5a92ed	Cluster	8	metadata
Quercus_3	navyblue	Cluster	9	metadata
OS_Abies	#d64933	layer_tree	1	metadata
OS_Picea	#3fb52f	layer_tree	2	metadata
OS_Quercus	#5a92ed	layer_tree	3	metadata
OM_Abies	darkred	layer_tree	4	metadata
OM_Picea	forestgreen	layer_tree	5	metadata
OM_Quercus	navyblue	layer_tree	6	metadata
Abies_OS	#d64933	layer_tree	1	metadata
Picea_OS	#3fb52f	layer_tree	2	metadata
Quercus_OS	#5a92ed	layer_tree	3	metadata
Abies_OM	darkred	layer_tree	4	metadata
Picea_OM	forestgreen	layer_tree	5	metadata
Quercus_OM	navyblue	layer_tree	6	metadata
Copiotroph	orange	copio_oligo	1	metadata
Oligotroph	steelblue	copio_oligo	2	metadata
Acidobacteriota	#B15928	Phylum	1	bacteria
Actinobacteriota	#FFFF99	Phylum	1	bacteria
Bacteroidota	#6A3D9A	Phylum	1	bacteria
Chloroflexi	#CAB2D6	Phylum	1	bacteria
Firmicutes	#FF7F00	Phylum	1	bacteria
Entotheonellaeota	purple	Phylum	1	bacteria
Gemmatimonadota	#FDBF6F	Phylum	1	bacteria
Latescibacterota	black	Phylum	1	bacteria
Methylomirabilota	#E31A1C	Phylum	1	bacteria
Myxococcota	#FB9A99	Phylum	1	bacteria
Planctomycetota	#33A02C	Phylum	1	bacteria
Proteobacteria	#B2DF8A	Phylum	1	bacteria
Verrucomicrobiota	#1F78B4	Phylum	1	bacteria
WPS-2	#A6CEE3	Phylum	1	bacteria
RCP2-54	darkblue	Phylum	1	bacteria
MBNT15	forestgreen	Phylum	1	bacteria
Acidobacteriae	#B15928	Class	1	bacteria
Actinobacteria	#FFFF99	Class	1	bacteria
Alphaproteobacteria	#6A3D9A	Class	1	bacteria
Gammaproteobacteria	#CAB2D6	Class	1	bacteria
Gemmatimonadetes	#FF7F00	Class	1	bacteria
