	Season	Sample_tag	Tree_number	Orientation	Layer	Tree_species	Cluster	pH	N	P	Org	CEC	Ca
AMF-2020dry-74-N-OM	2020_dry	74-N-OM	74	N	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-74-N-OS	2020_dry	74-N-OS	74	N	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-74-S-OM	2020_dry	74-S-OM	74	S	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-74-S-OS	2020_dry	74-S-OS	74	S	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-75-N-OM	2020_dry	75-N-OM	75	N	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-75-N-OS	2020_dry	75-N-OS	75	N	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-75-S-OM	2020_dry	75-S-OM	75	S	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-75-S-OS	2020_dry	75-S-OS	75	S	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-76-E-OM	2020_dry	76-E-OM	76	E	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-76-E-OS	2020_dry	76-E-OS	76	E	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-76-W-OM	2020_dry	76-W-OM	76	W	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-76-W-OS	2020_dry	76-W-OS	76	W	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-77-N-OM	2020_dry	77-N-OM	77	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-77-N-OS	2020_dry	77-N-OS	77	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-77-S-OM	2020_dry	77-S-OM	77	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-77-S-OS	2020_dry	77-S-OS	77	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-78-N-OM	2020_dry	78-N-OM	78	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-78-N-OS	2020_dry	78-N-OS	78	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-78-S-OM	2020_dry	78-S-OM	78	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-78-S-OS	2020_dry	78-S-OS	78	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-79-N-OM	2020_dry	79-N-OM	79	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-79-N-OS	2020_dry	79-N-OS	79	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-79-S-OM	2020_dry	79-S-OM	79	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-79-S-OS	2020_dry	79-S-OS	79	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-80-N-OM	2020_dry	80-N-OM	80	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-80-N-OS	2020_dry	80-N-OS	80	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-80-S-OM	2020_dry	80-S-OM	80	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-80-S-OS	2020_dry	80-S-OS	80	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-81-N-OM	2020_dry	81-N-OM	81	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-81-N-OS	2020_dry	81-N-OS	81	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-81-S-OM	2020_dry	81-S-OM	81	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-81-S-OS	2020_dry	81-S-OS	81	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-82-N-OM	2020_dry	82-N-OM	82	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-82-N-OS	2020_dry	82-N-OS	82	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-83-N-OM	2020_dry	83-N-OM	83	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-83-N-OS	2020_dry	83-N-OS	83	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-83-S-OM	2020_dry	83-S-OM	83	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-83-S-OS	2020_dry	83-S-OS	83	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-84-N-OM	2020_dry	84-N-OM	84	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-84-N-OS	2020_dry	84-N-OS	84	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-84-S-OM	2020_dry	84-S-OM	84	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-84-S-OS	2020_dry	84-S-OS	84	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-85-N-OM	2020_dry	85-N-OM	85	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-85-N-OS	2020_dry	85-N-OS	85	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-85-S-OM	2020_dry	85-S-OM	85	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-85-S-OS	2020_dry	85-S-OS	85	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-86-N-OM	2020_dry	86-N-OM	86	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-86-N-OS	2020_dry	86-N-OS	86	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-86-S-OM	2020_dry	86-S-OM	86	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-86-S-OS	2020_dry	86-S-OS	86	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-87-N-OM	2020_dry	87-N-OM	87	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-87-N-OS	2020_dry	87-N-OS	87	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-87-S-OS	2020_dry	87-S-OS	87	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-88-N-OM	2020_dry	88-N-OM	88	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-88-N-OS	2020_dry	88-N-OS	88	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-88-S-OM	2020_dry	88-S-OM	88	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-88-S-OS	2020_dry	88-S-OS	88	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020dry-89-N-OM	2020_dry	89-N-OM	89	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-89-N-OS	2020_dry	89-N-OS	89	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-89-S-OM	2020_dry	89-S-OM	89	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-89-S-OS	2020_dry	89-S-OS	89	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-90-N-OM	2020_dry	90-N-OM	90	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-90-N-OS	2020_dry	90-N-OS	90	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-90-S-OM	2020_dry	90-S-OM	90	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-90-S-OS	2020_dry	90-S-OS	90	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-91-N-OM	2020_dry	91-N-OM	91	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-91-N-OS	2020_dry	91-N-OS	91	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-91-S-OM	2020_dry	91-S-OM	91	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-91-S-OS	2020_dry	91-S-OS	91	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-92-N-OM	2020_dry	92-N-OM	92	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-92-N-OS	2020_dry	92-N-OS	92	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-92-S-OM	2020_dry	92-S-OM	92	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-92-S-OS	2020_dry	92-S-OS	92	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020dry-93-N-OM	2020_dry	93-N-OM	93	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-93-N-OS	2020_dry	93-N-OS	93	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-93-S-OM	2020_dry	93-S-OM	93	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-93-S-OS	2020_dry	93-S-OS	93	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-94-N-OM	2020_dry	94-N-OM	94	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-94-N-OS	2020_dry	94-N-OS	94	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-94-S-OM	2020_dry	94-S-OM	94	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-94-S-OS	2020_dry	94-S-OS	94	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-95-N-OM	2020_dry	95-N-OM	95	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-95-N-OS	2020_dry	95-N-OS	95	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-95-S-OM	2020_dry	95-S-OM	95	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-95-S-OS	2020_dry	95-S-OS	95	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-96-N-OS	2020_dry	96-N-OS	96	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-96-S-OM	2020_dry	96-S-OM	96	S	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020dry-96-S-OS	2020_dry	96-S-OS	96	S	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-61-N-OM	2020_wet	61-N-OM	61	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-61-N-OS	2020_wet	61-N-OS	61	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-61-S-OM	2020_wet	61-S-OM	61	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-61-S-OS	2020_wet	61-S-OS	61	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-62-N-OM	2020_wet	62-N-OM	62	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-62-N-OS	2020_wet	62-N-OS	62	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-62-S-OM	2020_wet	62-S-OM	62	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-62-S-OS	2020_wet	62-S-OS	62	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-63-N-OM	2020_wet	63-N-OM	63	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-63-N-OS	2020_wet	63-N-OS	63	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-63-S-OM	2020_wet	63-S-OM	63	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-63-S-OS	2020_wet	63-S-OS	63	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-64-N-OM	2020_wet	64-N-OM	64	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-64-N-OS	2020_wet	64-N-OS	64	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-64-S-OM	2020_wet	64-S-OM	64	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-64-S-OS	2020_wet	64-S-OS	64	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-65-N-OM	2020_wet	65-N-OM	65	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-65-N-OS	2020_wet	65-N-OS	65	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-65-W-OM	2020_wet	65-W-OM	65	W	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-65-W-OS	2020_wet	65-W-OS	65	W	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-66-N-OM	2020_wet	66-N-OM	66	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-66-N-OS	2020_wet	66-N-OS	66	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-66-S-OM	2020_wet	66-S-OM	66	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-66-S-OS	2020_wet	66-S-OS	66	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-67-N-OS	2020_wet	67-N-OS	67	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-67-S-OM	2020_wet	67-S-OM	67	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-67-S-OS	2020_wet	67-S-OS	67	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-68-N-OM	2020_wet	68-N-OM	68	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-68-N-OS	2020_wet	68-N-OS	68	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-68-S-OM	2020_wet	68-S-OM	68	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-68-S-OS	2020_wet	68-S-OS	68	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-69-N-OM	2020_wet	69-N-OM	69	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-69-N-OS	2020_wet	69-N-OS	69	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-69-S-OM	2020_wet	69-S-OM	69	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-69-S-OS	2020_wet	69-S-OS	69	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-70-N-OM	2020_wet	70-N-OM	70	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-70-N-OS	2020_wet	70-N-OS	70	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-70-S-OM	2020_wet	70-S-OM	70	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-70-S-OS	2020_wet	70-S-OS	70	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-71-N-OM	2020_wet	71-N-OM	71	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-71-N-OS	2020_wet	71-N-OS	71	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-71-S-OM	2020_wet	71-S-OM	71	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-71-S-OS	2020_wet	71-S-OS	71	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-72-N-OM	2020_wet	72-N-OM	72	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-72-N-OS	2020_wet	72-N-OS	72	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-72-S-OM	2020_wet	72-S-OM	72	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-72-S-OS	2020_wet	72-S-OS	72	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-73-E-OM	2020_wet	73-E-OM	73	E	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-73-E-OS	2020_wet	73-E-OS	73	E	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-73-W-OM	2020_wet	73-W-OM	73	W	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-73-W-OS	2020_wet	73-W-OS	73	W	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-74-N-OM	2020_wet	74-N-OM	74	N	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-74-N-OS	2020_wet	74-N-OS	74	N	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-74-S-OM	2020_wet	74-S-OM	74	S	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-74-S-OS	2020_wet	74-S-OS	74	S	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-75-N-OM	2020_wet	75-N-OM	75	N	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-75-N-OS	2020_wet	75-N-OS	75	N	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-75-S-OM	2020_wet	75-S-OM	75	S	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-75-S-OS	2020_wet	75-S-OS	75	S	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-76-E-OM	2020_wet	76-E-OM	76	E	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-76-E-OS	2020_wet	76-E-OS	76	E	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-76-W-OM	2020_wet	76-W-OM	76	W	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-76-W-OS	2020_wet	76-W-OS	76	W	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-77-N-OM	2020_wet	77-N-OM	77	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-77-N-OS	2020_wet	77-N-OS	77	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-77-S-OM	2020_wet	77-S-OM	77	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-77-S-OS	2020_wet	77-S-OS	77	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-78-N-OM	2020_wet	78-N-OM	78	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-78-N-OS	2020_wet	78-N-OS	78	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-78-S-OM	2020_wet	78-S-OM	78	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-78-S-OS	2020_wet	78-S-OS	78	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-79-N-OM	2020_wet	79-N-OM	79	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-79-N-OS	2020_wet	79-N-OS	79	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-79-S-OM	2020_wet	79-S-OM	79	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-79-S-OS	2020_wet	79-S-OS	79	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-80-N-OM	2020_wet	80-N-OM	80	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-80-N-OS	2020_wet	80-N-OS	80	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-80-S-OM	2020_wet	80-S-OM	80	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-80-S-OS	2020_wet	80-S-OS	80	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-81-N-OM	2020_wet	81-N-OM	81	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-81-N-OS	2020_wet	81-N-OS	81	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-81-S-OM	2020_wet	81-S-OM	81	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-81-S-OS	2020_wet	81-S-OS	81	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-82-N-OM	2020_wet	82-N-OM	82	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-82-N-OS	2020_wet	82-N-OS	82	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-82-S-OM	2020_wet	82-S-OM	82	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-82-S-OS	2020_wet	82-S-OS	82	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-83-N-OM	2020_wet	83-N-OM	83	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-83-N-OS	2020_wet	83-N-OS	83	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-83-S-OM	2020_wet	83-S-OM	83	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-83-S-OS	2020_wet	83-S-OS	83	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-84-N-OM	2020_wet	84-N-OM	84	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-84-N-OS	2020_wet	84-N-OS	84	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-84-S-OM	2020_wet	84-S-OM	84	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-84-S-OS	2020_wet	84-S-OS	84	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-85-N-OM	2020_wet	85-N-OM	85	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-85-N-OS	2020_wet	85-N-OS	85	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-85-S-OM	2020_wet	85-S-OM	85	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-85-S-OS	2020_wet	85-S-OS	85	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-86-N-OM	2020_wet	86-N-OM	86	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-86-N-OS	2020_wet	86-N-OS	86	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-86-S-OM	2020_wet	86-S-OM	86	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-86-S-OS	2020_wet	86-S-OS	86	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-87-N-OM	2020_wet	87-N-OM	87	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-87-N-OS	2020_wet	87-N-OS	87	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-87-S-OM	2020_wet	87-S-OM	87	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-87-S-OS	2020_wet	87-S-OS	87	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-88-N-OM	2020_wet	88-N-OM	88	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-88-N-OS	2020_wet	88-N-OS	88	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-88-S-OM	2020_wet	88-S-OM	88	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-88-S-OS	2020_wet	88-S-OS	88	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA
AMF-2020wet-89-N-OM	2020_wet	89-N-OM	89	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-89-N-OS	2020_wet	89-N-OS	89	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-89-S-OS	2020_wet	89-S-OS	89	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-90-N-OM	2020_wet	90-N-OM	90	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-90-N-OS	2020_wet	90-N-OS	90	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-90-S-OM	2020_wet	90-S-OM	90	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-90-S-OS	2020_wet	90-S-OS	90	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-91-N-OM	2020_wet	91-N-OM	91	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-91-N-OS	2020_wet	91-N-OS	91	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-91-S-OM	2020_wet	91-S-OM	91	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-91-S-OS	2020_wet	91-S-OS	91	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-92-N-OM	2020_wet	92-N-OM	92	N	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-92-N-OS	2020_wet	92-N-OS	92	N	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-92-S-OM	2020_wet	92-S-OM	92	S	OM	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-92-S-OS	2020_wet	92-S-OS	92	S	OS	Abies	Abies_2	NA	NA	NA	NA	NA	NA
AMF-2020wet-93-N-OM	2020_wet	93-N-OM	93	N	OM	Abies	Abies_3	NA	NA	NA	NA	NA	NA
AMF-2020wet-93-N-OS	2020_wet	93-N-OS	93	N	OS	Abies	Abies_3	NA	NA	NA	NA	NA	NA
