	Season	Sample_tag	Tree_number	Orientation	Layer	Tree_species	Cluster	pH	N	P	Org	CEC	Ca	DBH	Corg	ratioCorg_N
ITS2-2019wet-61-S-OM	2019_wet	61-S-OM	61	S	OM	Quercus	Quercus_1	4.11	4.56	6.9	93.1	0.97	0.3906	155	54.1279069767442	11.8701550387597
ITS2-2019wet-86-S-OM	2019_wet	86-S-OM	86	S	OM	Abies	Abies_1	4.12	7.49	11.07	146.3	3.03	0.4597	120	85.0581395348837	11.3562269071941
ITS2-2019wet-67-N-OM	2019_wet	67-N-OM	67	N	OM	Quercus	Quercus_2	4.13	4.25	8.69	97.95	1.44	0.079	340	56.9476744186047	13.3994528043776
ITS2-2019wet-64-S-OS	2019_wet	64-S-OS	64	S	OS	Quercus	Quercus_1	4.15	18.73	10.67	503.72	13.86	10.0697	225	292.860465116279	15.6359031028446
ITS2-2019wet-74-N-OS	2019_wet	74-N-OS	74	N	OS	Picea	Picea_1	4.16	17.5	13.05	617.66	21.54	3.1017	207	359.104651162791	20.5202657807309
ITS2-2019wet-61-S-OS	2019_wet	61-S-OS	61	S	OS	Quercus	Quercus_1	4.18	7.42	7.47	207.31	16.91	0.3834	155	120.529069767442	16.2438099417038
ITS2-2019wet-82-S-OM	2019_wet	82-S-OM	82	S	OM	Picea	Picea_3	4.18	6.23	18.84	159.84	13.71	0.2257	278	92.9302325581395	14.9165702340513
ITS2-2019wet-86-S-OS	2019_wet	86-S-OS	86	S	OS	Abies	Abies_1	4.18	17.46	10.91	607.22	17.53	4.8233	120	353.03488372093	20.2196382428941
ITS2-2019wet-89-S-OS	2019_wet	89-S-OS	89	S	OS	Abies	Abies_2	4.21	14.78	18.13	448.18	12.43	0.2224	146	260.56976744186	17.629889542751
ITS2-2019wet-74-N-OM	2019_wet	74-N-OM	74	N	OM	Picea	Picea_1	4.24	4.97	10.91	108.63	4.41	2.0195	207	63.156976744186	12.7076411960133
ITS2-2019wet-73-E-OS	2019_wet	73-E-OS	73	E	OS	Picea	Picea_1	4.25	9.54	14.64	248.64	22.28	2.4543	103	144.558139534884	15.1528448149773
ITS2-2019wet-71-N-OS	2019_wet	71-N-OS	71	N	OS	Quercus	Quercus_3	4.26	18.14	12.1	506.52	33.86	34.8388	420	294.488372093023	16.2341991230994
ITS2-2019wet-82-S-OS	2019_wet	82-S-OS	82	S	OS	Picea	Picea_3	4.32	1.46	5.12	615.06	36.54	6.0941	278	357.593023255814	244.926728257407
ITS2-2019wet-65-W-OS	2019_wet	65-W-OS	65	W	OS	Quercus	Quercus_2	4.35	10.07	13.21	309.05	15.08	1.0562	209	179.68023255814	17.8431214059721
ITS2-2019wet-94-S-OS	2019_wet	94-S-OS	94	S	OS	Abies	Abies_3	4.35	9.15	13.29	200.9	11.36	7.6578	143	116.802325581395	12.7652814843055
ITS2-2019wet-65-W-OM	2019_wet	65-W-OM	65	W	OM	Quercus	Quercus_2	4.38	11.07	1.23	243.23	8.46	0.5174	209	141.412790697674	12.774416503855
ITS2-2019wet-96-N-OM	2019_wet	96-N-OM	96	N	OM	Abies	Abies_3	4.38	7.25	18.53	125.98	12.66	1.5108	200	73.2441860465116	10.102646351243
ITS2-2019wet-68-S-OS	2019_wet	68-S-OS	68	S	OS	Quercus	Quercus_2	4.42	19.19	14	607.32	15.08	1.8144	330	353.093023255814	18.3998448804489
ITS2-2019wet-94-N-OS	2019_wet	94-N-OS	94	N	OS	Abies	Abies_3	4.46	10.29	14.4	252.35	20.25	1.6383	143	146.71511627907	14.2580287929125
ITS2-2019wet-67-S-OM	2019_wet	67-S-OM	67	S	OM	Quercus	Quercus_2	4.47	4.91	10.2	130.03	1.67	0.2625	340	75.5988372093023	15.3969118552551
ITS2-2019wet-67-S-OS	2019_wet	67-S-OS	67	S	OS	Quercus	Quercus_2	4.48	14.66	13.61	331.28	17.55	1.9022	340	192.604651162791	13.1381071734509
ITS2-2019wet-81-N-OM	2019_wet	81-N-OM	81	N	OM	Picea	Picea_3	4.5	6.4	17.1	141.88	7.65	0.7577	280	82.4883720930233	12.8888081395349
ITS2-2019wet-90-S-OM	2019_wet	90-S-OM	90	S	OM	Abies	Abies_2	4.5	8.19	20.51	187.05	7.89	3.752	295	108.75	13.2783882783883
ITS2-2019wet-81-N-OS	2019_wet	81-N-OS	81	N	OS	Picea	Picea_3	4.51	15.3	16.15	474.74	17.39	7.6595	280	276.011627906977	18.0399756801946
ITS2-2019wet-93-S-OS	2019_wet	93-S-OS	93	S	OS	Abies	Abies_3	4.51	13.38	11.23	379.32	16.93	4.5067	221	220.53488372093	16.4824277818333
ITS2-2019wet-76-W-OS	2019_wet	76-W-OS	76	W	OS	Picea	Picea_1	4.53	5.44	12.42	280.48	3.69	5.7091	178	163.06976744186	29.9760601915185
ITS2-2019wet-69-S-OS	2019_wet	69-S-OS	69	S	OS	Quercus	Quercus_3	4.54	9.71	14.24	247.18	8.31	5.8257	333	143.709302325581	14.800134122099
ITS2-2019wet-73-E-OM	2019_wet	73-E-OM	73	E	OM	Picea	Picea_1	4.54	4.4	13.45	115.37	8.52	1.0703	103	67.0755813953488	15.2444503171247
ITS2-2019wet-96-S-OS	2019_wet	96-S-OS	96	S	OS	Abies	Abies_3	4.54	10.96	16.78	246.3	32.66	3.2717	200	143.197674418605	13.0654812425734
ITS2-2019wet-95-N-OS	2019_wet	95-N-OS	95	N	OS	Abies	Abies_3	4.55	16.06	15.43	447	9.76	4.8374	172	259.883720930233	16.1820498711228
ITS2-2019wet-84-N-OS	2019_wet	84-N-OS	84	N	OS	Picea	Picea_3	4.56	14.1	14	383.84	13.79	2.135	267	223.162790697674	15.8271482764308
ITS2-2019wet-89-S-OM	2019_wet	89-S-OM	89	S	OM	Abies	Abies_2	4.56	7.6	15.83	159.9	9.62	2.6917	146	92.9651162790698	12.2322521419829
