	Season	Sample_tag	Tree_number	Orientation	Layer	Tree_species	Cluster	pH	N	P	Org	CEC	Ca	DBH	Corg	ratioCorg_N
ITS2-2020wet-62-N-OM	2020_wet	62-N-OM	62	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020wet-62-N-OS	2020_wet	62-N-OS	62	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020wet-62-S-OM	2020_wet	62-S-OM	62	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020wet-62-S-OS	2020_wet	62-S-OS	62	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020dry-63-N-OM	2020_dry	63-N-OM	63	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	182	NA	NA
ITS2-2020dry-63-N-OS	2020_dry	63-N-OS	63	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	182	NA	NA
ITS2-2020dry-63-S-OM	2020_dry	63-S-OM	63	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	182	NA	NA
ITS2-2020dry-63-S-OS	2020_dry	63-S-OS	63	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	182	NA	NA
ITS2-2020wet-63-N-OM	2020_wet	63-N-OM	63	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	182	NA	NA
ITS2-2020wet-63-N-OS	2020_wet	63-N-OS	63	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	182	NA	NA
ITS2-2020wet-63-S-OM	2020_wet	63-S-OM	63	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	182	NA	NA
ITS2-2020wet-63-S-OS	2020_wet	63-S-OS	63	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	182	NA	NA
ITS2-2020dry-64-N-OM	2020_dry	64-N-OM	64	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	225	NA	NA
ITS2-2020dry-64-N-OS	2020_dry	64-N-OS	64	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	225	NA	NA
ITS2-2020dry-64-S-OM	2020_dry	64-S-OM	64	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	225	NA	NA
ITS2-2020dry-64-S-OS	2020_dry	64-S-OS	64	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	225	NA	NA
ITS2-2020wet-64-N-OM	2020_wet	64-N-OM	64	N	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	225	NA	NA
ITS2-2020wet-64-N-OS	2020_wet	64-N-OS	64	N	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	225	NA	NA
ITS2-2020wet-64-S-OM	2020_wet	64-S-OM	64	S	OM	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	225	NA	NA
ITS2-2020wet-64-S-OS	2020_wet	64-S-OS	64	S	OS	Quercus	Quercus_1	NA	NA	NA	NA	NA	NA	225	NA	NA
ITS2-2020dry-65-N-OM	2020_dry	65-N-OM	65	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	209	NA	NA
ITS2-2020dry-65-N-OS	2020_dry	65-N-OS	65	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	209	NA	NA
ITS2-2020dry-65-W-OM	2020_dry	65-W-OM	65	W	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	209	NA	NA
ITS2-2020dry-65-W-OS	2020_dry	65-W-OS	65	W	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	209	NA	NA
ITS2-2020wet-65-N-OM	2020_wet	65-N-OM	65	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	209	NA	NA
ITS2-2020wet-65-N-OS	2020_wet	65-N-OS	65	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	209	NA	NA
ITS2-2020wet-65-W-OM	2020_wet	65-W-OM	65	W	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	209	NA	NA
ITS2-2020wet-65-W-OS	2020_wet	65-W-OS	65	W	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	209	NA	NA
ITS2-2020dry-66-N-OM	2020_dry	66-N-OM	66	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	409	NA	NA
ITS2-2020dry-66-N-OS	2020_dry	66-N-OS	66	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	409	NA	NA
ITS2-2020dry-66-S-OM	2020_dry	66-S-OM	66	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	409	NA	NA
ITS2-2020dry-66-S-OS	2020_dry	66-S-OS	66	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	409	NA	NA
ITS2-2020wet-66-N-OM	2020_wet	66-N-OM	66	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	409	NA	NA
ITS2-2020wet-66-N-OS	2020_wet	66-N-OS	66	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	409	NA	NA
ITS2-2020wet-66-S-OM	2020_wet	66-S-OM	66	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	409	NA	NA
ITS2-2020wet-66-S-OS	2020_wet	66-S-OS	66	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	409	NA	NA
ITS2-2020dry-67-N-OM	2020_dry	67-N-OM	67	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	340	NA	NA
ITS2-2020dry-67-N-OS	2020_dry	67-N-OS	67	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	340	NA	NA
ITS2-2020dry-67-S-OM	2020_dry	67-S-OM	67	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	340	NA	NA
ITS2-2020dry-67-S-OS	2020_dry	67-S-OS	67	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	340	NA	NA
ITS2-2020wet-67-N-OS	2020_wet	67-N-OS	67	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	340	NA	NA
ITS2-2020wet-67-S-OM	2020_wet	67-S-OM	67	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	340	NA	NA
ITS2-2020wet-67-S-OS	2020_wet	67-S-OS	67	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	340	NA	NA
ITS2-2020wet-67-N-OM	2020_wet	67-N-OM	67	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	340	NA	NA
ITS2-2020dry-68-N-OM	2020_dry	68-N-OM	68	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	330	NA	NA
ITS2-2020dry-68-N-OS	2020_dry	68-N-OS	68	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	330	NA	NA
ITS2-2020dry-68-S-OM	2020_dry	68-S-OM	68	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	330	NA	NA
ITS2-2020dry-68-S-OS	2020_dry	68-S-OS	68	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	330	NA	NA
ITS2-2020wet-68-N-OM	2020_wet	68-N-OM	68	N	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	330	NA	NA
ITS2-2020wet-68-N-OS	2020_wet	68-N-OS	68	N	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	330	NA	NA
ITS2-2020wet-68-S-OM	2020_wet	68-S-OM	68	S	OM	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	330	NA	NA
ITS2-2020wet-68-S-OS	2020_wet	68-S-OS	68	S	OS	Quercus	Quercus_2	NA	NA	NA	NA	NA	NA	330	NA	NA
ITS2-2020dry-69-N-OM	2020_dry	69-N-OM	69	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	333	NA	NA
ITS2-2020dry-69-N-OS	2020_dry	69-N-OS	69	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	333	NA	NA
ITS2-2020dry-69-S-OM	2020_dry	69-S-OM	69	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	333	NA	NA
ITS2-2020dry-69-S-OS	2020_dry	69-S-OS	69	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	333	NA	NA
ITS2-2020wet-69-N-OM	2020_wet	69-N-OM	69	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	333	NA	NA
ITS2-2020wet-69-N-OS	2020_wet	69-N-OS	69	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	333	NA	NA
ITS2-2020wet-69-S-OM	2020_wet	69-S-OM	69	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	333	NA	NA
ITS2-2020wet-69-S-OS	2020_wet	69-S-OS	69	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	333	NA	NA
ITS2-2020dry-70-N-OM	2020_dry	70-N-OM	70	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020dry-70-N-OS	2020_dry	70-N-OS	70	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020dry-70-S-OM	2020_dry	70-S-OM	70	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020dry-70-S-OS	2020_dry	70-S-OS	70	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020wet-70-N-OM	2020_wet	70-N-OM	70	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020wet-70-N-OS	2020_wet	70-N-OS	70	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020wet-70-S-OM	2020_wet	70-S-OM	70	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020wet-70-S-OS	2020_wet	70-S-OS	70	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020dry-71-N-OM	2020_dry	71-N-OM	71	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	420	NA	NA
ITS2-2020dry-71-N-OS	2020_dry	71-N-OS	71	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	420	NA	NA
ITS2-2020dry-71-S-OM	2020_dry	71-S-OM	71	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	420	NA	NA
ITS2-2020dry-71-S-OS	2020_dry	71-S-OS	71	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	420	NA	NA
ITS2-2020wet-71-N-OM	2020_wet	71-N-OM	71	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	420	NA	NA
ITS2-2020wet-71-N-OS	2020_wet	71-N-OS	71	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	420	NA	NA
ITS2-2020wet-71-S-OM	2020_wet	71-S-OM	71	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	420	NA	NA
ITS2-2020wet-71-S-OS	2020_wet	71-S-OS	71	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	420	NA	NA
ITS2-2020dry-72-N-OM	2020_dry	72-N-OM	72	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	545	NA	NA
ITS2-2020dry-72-N-OS	2020_dry	72-N-OS	72	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	545	NA	NA
ITS2-2020dry-72-S-OM	2020_dry	72-S-OM	72	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	545	NA	NA
ITS2-2020dry-72-S-OS	2020_dry	72-S-OS	72	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	545	NA	NA
ITS2-2020wet-72-N-OM	2020_wet	72-N-OM	72	N	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	545	NA	NA
ITS2-2020wet-72-N-OS	2020_wet	72-N-OS	72	N	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	545	NA	NA
ITS2-2020wet-72-S-OM	2020_wet	72-S-OM	72	S	OM	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	545	NA	NA
ITS2-2020wet-72-S-OS	2020_wet	72-S-OS	72	S	OS	Quercus	Quercus_3	NA	NA	NA	NA	NA	NA	545	NA	NA
ITS2-2020dry-73-E-OM	2020_dry	73-E-OM	73	E	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	103	NA	NA
ITS2-2020dry-73-E-OS	2020_dry	73-E-OS	73	E	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	103	NA	NA
ITS2-2020dry-73-W-OM	2020_dry	73-W-OM	73	W	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	103	NA	NA
ITS2-2020dry-73-W-OS	2020_dry	73-W-OS	73	W	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	103	NA	NA
ITS2-2020wet-73-E-OM	2020_wet	73-E-OM	73	E	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	103	NA	NA
ITS2-2020wet-73-E-OS	2020_wet	73-E-OS	73	E	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	103	NA	NA
ITS2-2020wet-73-W-OM	2020_wet	73-W-OM	73	W	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	103	NA	NA
ITS2-2020wet-73-W-OS	2020_wet	73-W-OS	73	W	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	103	NA	NA
ITS2-2020dry-74-N-OM	2020_dry	74-N-OM	74	N	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	207	NA	NA
ITS2-2020dry-74-N-OS	2020_dry	74-N-OS	74	N	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	207	NA	NA
ITS2-2020dry-74-S-OM	2020_dry	74-S-OM	74	S	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	207	NA	NA
ITS2-2020dry-74-S-OS	2020_dry	74-S-OS	74	S	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	207	NA	NA
ITS2-2020wet-74-N-OM	2020_wet	74-N-OM	74	N	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	207	NA	NA
ITS2-2020wet-74-N-OS	2020_wet	74-N-OS	74	N	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	207	NA	NA
ITS2-2020wet-74-S-OM	2020_wet	74-S-OM	74	S	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	207	NA	NA
ITS2-2020wet-74-S-OS	2020_wet	74-S-OS	74	S	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	207	NA	NA
ITS2-2020dry-75-N-OM	2020_dry	75-N-OM	75	N	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	122	NA	NA
ITS2-2020dry-75-N-OS	2020_dry	75-N-OS	75	N	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	122	NA	NA
ITS2-2020dry-75-S-OM	2020_dry	75-S-OM	75	S	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	122	NA	NA
ITS2-2020dry-75-S-OS	2020_dry	75-S-OS	75	S	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	122	NA	NA
ITS2-2020wet-75-N-OM	2020_wet	75-N-OM	75	N	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	122	NA	NA
ITS2-2020wet-75-N-OS	2020_wet	75-N-OS	75	N	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	122	NA	NA
ITS2-2020wet-75-S-OM	2020_wet	75-S-OM	75	S	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	122	NA	NA
ITS2-2020wet-75-S-OS	2020_wet	75-S-OS	75	S	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	122	NA	NA
ITS2-2020dry-76-E-OM	2020_dry	76-E-OM	76	E	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020dry-76-E-OS	2020_dry	76-E-OS	76	E	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020dry-76-W-OM	2020_dry	76-W-OM	76	W	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020dry-76-W-OS	2020_dry	76-W-OS	76	W	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020wet-76-E-OM	2020_wet	76-E-OM	76	E	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020wet-76-E-OS	2020_wet	76-E-OS	76	E	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020wet-76-W-OM	2020_wet	76-W-OM	76	W	OM	Picea	Picea_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020wet-76-W-OS	2020_wet	76-W-OS	76	W	OS	Picea	Picea_1	NA	NA	NA	NA	NA	NA	178	NA	NA
ITS2-2020dry-77-N-OM	2020_dry	77-N-OM	77	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	396	NA	NA
ITS2-2020dry-77-N-OS	2020_dry	77-N-OS	77	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	396	NA	NA
ITS2-2020dry-77-S-OM	2020_dry	77-S-OM	77	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	396	NA	NA
ITS2-2020dry-77-S-OS	2020_dry	77-S-OS	77	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	396	NA	NA
ITS2-2020wet-77-N-OM	2020_wet	77-N-OM	77	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	396	NA	NA
ITS2-2020wet-77-N-OS	2020_wet	77-N-OS	77	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	396	NA	NA
ITS2-2020wet-77-S-OM	2020_wet	77-S-OM	77	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	396	NA	NA
ITS2-2020wet-77-S-OS	2020_wet	77-S-OS	77	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	396	NA	NA
ITS2-2020dry-78-N-OM	2020_dry	78-N-OM	78	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	231	NA	NA
ITS2-2020dry-78-N-OS	2020_dry	78-N-OS	78	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	231	NA	NA
ITS2-2020dry-78-S-OM	2020_dry	78-S-OM	78	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	231	NA	NA
ITS2-2020dry-78-S-OS	2020_dry	78-S-OS	78	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	231	NA	NA
ITS2-2020wet-78-N-OM	2020_wet	78-N-OM	78	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	231	NA	NA
ITS2-2020wet-78-N-OS	2020_wet	78-N-OS	78	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	231	NA	NA
ITS2-2020wet-78-S-OM	2020_wet	78-S-OM	78	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	231	NA	NA
ITS2-2020wet-78-S-OS	2020_wet	78-S-OS	78	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	231	NA	NA
ITS2-2020dry-79-N-OM	2020_dry	79-N-OM	79	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	279	NA	NA
ITS2-2020dry-79-N-OS	2020_dry	79-N-OS	79	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	279	NA	NA
ITS2-2020dry-79-S-OM	2020_dry	79-S-OM	79	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	279	NA	NA
ITS2-2020dry-79-S-OS	2020_dry	79-S-OS	79	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	279	NA	NA
ITS2-2020wet-79-N-OM	2020_wet	79-N-OM	79	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	279	NA	NA
ITS2-2020wet-79-N-OS	2020_wet	79-N-OS	79	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	279	NA	NA
ITS2-2020wet-79-S-OM	2020_wet	79-S-OM	79	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	279	NA	NA
ITS2-2020wet-79-S-OS	2020_wet	79-S-OS	79	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	279	NA	NA
ITS2-2020dry-80-N-OM	2020_dry	80-N-OM	80	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	205	NA	NA
ITS2-2020dry-80-N-OS	2020_dry	80-N-OS	80	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	205	NA	NA
ITS2-2020dry-80-S-OM	2020_dry	80-S-OM	80	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	205	NA	NA
ITS2-2020dry-80-S-OS	2020_dry	80-S-OS	80	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	205	NA	NA
ITS2-2020wet-80-N-OM	2020_wet	80-N-OM	80	N	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	205	NA	NA
ITS2-2020wet-80-N-OS	2020_wet	80-N-OS	80	N	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	205	NA	NA
ITS2-2020wet-80-S-OM	2020_wet	80-S-OM	80	S	OM	Picea	Picea_2	NA	NA	NA	NA	NA	NA	205	NA	NA
ITS2-2020wet-80-S-OS	2020_wet	80-S-OS	80	S	OS	Picea	Picea_2	NA	NA	NA	NA	NA	NA	205	NA	NA
ITS2-2020dry-81-N-OM	2020_dry	81-N-OM	81	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	280	NA	NA
ITS2-2020dry-81-N-OS	2020_dry	81-N-OS	81	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	280	NA	NA
ITS2-2020dry-81-S-OM	2020_dry	81-S-OM	81	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	280	NA	NA
ITS2-2020dry-81-S-OS	2020_dry	81-S-OS	81	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	280	NA	NA
ITS2-2020wet-81-N-OM	2020_wet	81-N-OM	81	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	280	NA	NA
ITS2-2020wet-81-N-OS	2020_wet	81-N-OS	81	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	280	NA	NA
ITS2-2020wet-81-S-OM	2020_wet	81-S-OM	81	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	280	NA	NA
ITS2-2020wet-81-S-OS	2020_wet	81-S-OS	81	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	280	NA	NA
ITS2-2020dry-82-N-OM	2020_dry	82-N-OM	82	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020dry-82-N-OS	2020_dry	82-N-OS	82	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020dry-82-S-OM	2020_dry	82-S-OM	82	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020dry-82-S-OS	2020_dry	82-S-OS	82	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020wet-82-N-OM	2020_wet	82-N-OM	82	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020wet-82-N-OS	2020_wet	82-N-OS	82	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020wet-82-S-OM	2020_wet	82-S-OM	82	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020wet-82-S-OS	2020_wet	82-S-OS	82	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	278	NA	NA
ITS2-2020dry-83-N-OM	2020_dry	83-N-OM	83	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	292	NA	NA
ITS2-2020dry-83-N-OS	2020_dry	83-N-OS	83	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	292	NA	NA
ITS2-2020dry-83-S-OM	2020_dry	83-S-OM	83	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	292	NA	NA
ITS2-2020dry-83-S-OS	2020_dry	83-S-OS	83	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	292	NA	NA
ITS2-2020wet-83-N-OM	2020_wet	83-N-OM	83	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	292	NA	NA
ITS2-2020wet-83-N-OS	2020_wet	83-N-OS	83	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	292	NA	NA
ITS2-2020wet-83-S-OM	2020_wet	83-S-OM	83	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	292	NA	NA
ITS2-2020wet-83-S-OS	2020_wet	83-S-OS	83	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	292	NA	NA
ITS2-2020dry-84-N-OM	2020_dry	84-N-OM	84	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	267	NA	NA
ITS2-2020dry-84-N-OS	2020_dry	84-N-OS	84	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	267	NA	NA
ITS2-2020dry-84-S-OM	2020_dry	84-S-OM	84	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	267	NA	NA
ITS2-2020dry-84-S-OS	2020_dry	84-S-OS	84	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	267	NA	NA
ITS2-2020wet-84-N-OM	2020_wet	84-N-OM	84	N	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	267	NA	NA
ITS2-2020wet-84-N-OS	2020_wet	84-N-OS	84	N	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	267	NA	NA
ITS2-2020wet-84-S-OM	2020_wet	84-S-OM	84	S	OM	Picea	Picea_3	NA	NA	NA	NA	NA	NA	267	NA	NA
ITS2-2020wet-84-S-OS	2020_wet	84-S-OS	84	S	OS	Picea	Picea_3	NA	NA	NA	NA	NA	NA	267	NA	NA
ITS2-2020dry-85-N-OM	2020_dry	85-N-OM	85	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	158	NA	NA
ITS2-2020dry-85-N-OS	2020_dry	85-N-OS	85	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	158	NA	NA
ITS2-2020dry-85-S-OM	2020_dry	85-S-OM	85	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	158	NA	NA
ITS2-2020dry-85-S-OS	2020_dry	85-S-OS	85	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	158	NA	NA
ITS2-2020wet-85-N-OM	2020_wet	85-N-OM	85	N	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	158	NA	NA
ITS2-2020wet-85-N-OS	2020_wet	85-N-OS	85	N	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	158	NA	NA
ITS2-2020wet-85-S-OM	2020_wet	85-S-OM	85	S	OM	Abies	Abies_1	NA	NA	NA	NA	NA	NA	158	NA	NA
ITS2-2020wet-85-S-OS	2020_wet	85-S-OS	85	S	OS	Abies	Abies_1	NA	NA	NA	NA	NA	NA	158	NA	NA
